ISO3,Source,y2012,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050
AGO,FAO,4074257,4230894,4513173,4737111,5014081,5218455,5430971,5619349,5807726
BDI,LinearEXt,1450,1485,1557,1598,1661,1727,1762,1833,1903
BEN,FAO,3205725,3300463,3468491,3594493,3774150,3891686,4006785,4103466,4200147
BFA,FAO,6317579,6612015,7149508,7578628,8084195,8483855,8895576,9269725,9643873
BWA,FAO,135138,142156,155075,165700,177243,187013,197391,206949,216506
CAF,FAO,1873023,1934156,2039049,2118521,2239819,2307715,2378969,2446789,2514609
CIV,FAO,7722860,7918496,8223954,8426280,8318389,8457971,8600055,8600055,8600055
CMR,FAO,8468334,8821837,9447258,9934408,10589352,11024415,11477206,11880268,12283330
COD,LinearEXt,8000,8027,8096,8150,8162,8242,8303,8429,8555
COG,FAO,658596,681877,722494,753354,798281,825648,853697,879242,904786
COM,LinearEXt,118,119,122,124,125,128,130,132,133
CPV,LinearEXt,59,60,62,63,63,66,68,71,73
DJI,LinearEXt,2,2,2,2,3,3,3,4,4
DZA,FAO,8414787,8416866,8375404,8309807,8427259,8328254,8230047,8135110,8040172
EGY,FAO,3710799,3693074,3632734,3562085,3604448,3517428,3426822,3338421,3250019
ERI,LinearEXt,692,722,785,838,871,932,987,1037,1087
ESH,nodata,0,0,0,0,0,0,0,0,0
ETH,FAO,17371163,18099339,19435880,20503887,21740216,22744951,23773497,24661655,25549813
GAB,FAO,466484,482638,509102,527347,563405,578527,593373,606436,619499
GHA,FAO,7370470,7622218,8060768,8395924,8880956,9175388,9480627,9762011,10043394
GIN,FAO,4186833,4350082,4643879,4878475,5166327,5378436,5601538,5786597,5971656
GMB,FAO,318374,332723,358933,380801,404470,423982,445371,465938,486504
GNB,LinearEXt,550,564,592,615,631,657,681,702,723
GNQ,LinearEXt,180,173,158,144,136,124,109,95,80
KEN,FAO,6594272,6853837,7312844,7670539,8151659,8470623,8803060,9084717,9366373
LBR,FAO,662713,680876,711229,732840,771692,790038,808328,821758,835188
LBY,LinearEXt,2055,2038,2003,1970,1953,1922,1886,1857,1827
LSO,FAO,180013,188523,203788,215528,231072,242016,252963,261743,270522
MAR,FAO,9105274,9158113,9183422,9148883,9422306,9333945,9243803,9160317,9076831
MDG,FAO,4296818,4433859,4657480,4813651,5119064,5245349,5373095,5463388,5553681
MLI,FAO,6960718,7356088,8087615,8677421,9332935,9891606,10464589,10978290,11491990
MOZ,FAO,4098363,4221769,4443583,4621258,4838799,4998514,5167591,5322893,5478194
MRT,FAO,265978,274508,289916,302010,317159,328369,339807,349809,359811
MUS,FAO,32116,32851,34051,34755,36527,37204,37705,38083,38461
MWI,FAO,4056941,4175702,4403308,4596718,4769509,4955028,5150692,5324398,5498104
NAM,FAO,757505,811064,911858,996961,1078858,1158358,1243413,1324642,1405870
NER,FAO,15610872,16435965,17922482,19104606,20561427,21637087,22759960,23794774,24829587
NGA,FAO,55070023,57427088,61642943,65003601,69212414,72216158,75397128,78254269,81111410
RWA,FAO,1656418,1722586,1842663,1938673,2053424,2141637,2233477,2309619,2385761
SDN,LinearEXt,20012,19997,19968,19945,19922,19899,19876,19853,19830
SEN,FAO,2760709,2905648,3176095,3405639,3630344,3840267,4069075,4294501,4519926
SH,SHN,0,0,0,0,0,0,0,0,0
SLE,FAO,1801537,1860462,1963706,2043235,2155087,2225342,2298364,2351968,2405571
SOM,LinearEXt,1025,1038,1070,1069,1102,1138,1130,1127,1123
SSD,LinearEXt,2760,2760,2760,2760,2760,2760,2760,2760,2760
STP,LinearEXt,48,48,49,50,49,50,51,51,51
SWZ,FAO,214762,221856,234652,244404,257325,266609,275695,282655,289614
TCD,FAO,5409821,5679978,6179097,6582888,7030765,7410849,7803343,8156850,8510357
TGO,FAO,3765305,3918013,4191587,4406080,4681550,4877146,5078814,5257145,5435475
TUN,FAO,5372420,5498566,5658389,5728651,6129294,6141997,6151632,6164407,6177182
TZA,FAO,15611477,16177541,17207921,18034568,19007862,19769541,20562970,21262538,21962106
UGA,FAO,6465359,6702382,7132342,7483798,7887498,8203094,8542488,8856678,9170867
ZAF,FAO,15586900,16100842,17034374,17764066,18670549,19357658,20048912,20575414,21101915
ZMB,FAO,3564164,3686717,3901750,4065626,4299480,4446286,4596083,4718050,4840017
ZWE,FAO,3245587,3375184,3612184,3803711,4023167,4200028,4384972,4546383,4707793
