ISO,ArableLand,PermanentCrops,PermanentMeadowsPastures,CountryName
AGO,4900,290,54000,Angola
BDI,1200,350,482,Burundi
BEN,2700,500,550,Benin
BFA,6000,100,6000,Burkina Faso
BWA,399,2,25600,Botswana
CAF,1800,80,3200,Central African Republic
CIV,2900,4500,13200,Cote d'Ivoire
CMR,6200,1550,2000,Cameroon
COD,7100,900,18200,Democratic Republic of the Congo
COG,550,77,10000,Congo
COM,65,53,15,Comoros
CPV,50,4,25,Cabo Verde
DJI,2,0,1700,Djibouti
DZA,7462,1000,32994,Algeria
EGY,2896,924,0,Egypt
ERI,690,2,6900,Eritrea
ESH,4,0,5000,Western Sahara
ETH,15119,1140,20000,Ethiopia
GAB,325,170,4665,Gabon
GHA,4700,2700,8300,Ghana
GIN,3100,700,10700,Guinea
GMB,440,5,160,Gambia
GNB,300,250,1080,Guinea-Bissau
GNQ,120,60,104,Equatorial Guinea
KEN,5800,530,21300,Kenya
LBR,500,200,2000,Liberia
LBY,1720,330,13300,Libya
LSO,272,5,2000,Lesotho
MAR,8130,1462,21000,Morocco
MDG,3500,620,37295,Madagascar
MLI,6411,150,34640,Mali
MOZ,5650,300,44000,Mozambique
MRT,450,11,39250,Mauritania
MUS,74,4,7,Mauritius
MWI,3800,140,1850,Malawi
MYT,9,3,0,Mayotte
NAM,800,9,38000,Namibia
NER,16800,100,28782,Niger
NGA,34000,6500,30300,Nigeria
REU,34,3,11,Reunion
RWA,1152,250,410,Rwanda
SDN,19823,168,48195,Sudan
SEN,3200,68,5600,Senegal
SLE,1584,165,2200,Sierra Leone
SOM,1100,25,43000,Somalia
SSD,0,0,25773,South Sudan
STP,9,39,1,Sao Tome and Principe
SWZ,175,15,1032,Swaziland
SYC,0,1,0,Seychelles
TCD,4900,35,45000,Chad
TGO,2650,170,1000,Togo
TUN,2900,2332,4841,Tunisia
TZA,13500,2150,24000,United Republic of Tanzania
UGA,6900,2200,5315,Uganda
ZAF,12500,413,83928,South Africa
ZMB,3800,36,20000,Zambia
ZWE,4000,100,12100,Zimbabwe
