Transition,From,To,FromClass,ToClass,Cost
UrbanToUrban,0,0,Urban,Urban,-1000
UrbanToCrops,0,1,Urban,Crops,1000
UrbanToPermanentCrops,0,2,Urban,PermanentCrops,1000
UrbanToMatureForest,0,3,Urban,MatureForest,1000
UrbanToYoungForest,0,4,Urban,YoungForest,1000
UrbanToShrubs,0,5,Urban,Shrubs,1000
UrbanToHerbaceous,0,6,Urban,Herbaceous,1000
UrbanToCocoa,0,7,Urban,Cocoa,1000
UrbanToNonCompliant_Cocoa,0,8,Urban,NonCompliant_Cocoa,1000
UrbanToExhausted_Cocoa,0,9,Urban,Exhausted_Cocoa,1000
CropsToUrban,1,0,Crops,Urban,133.405
CropsToCrops,1,1,Crops,Crops,-166.843
CropsToPermanentCrops,1,2,Crops,PermanentCrops,187.185
CropsToMatureForest,1,3,Crops,MatureForest,168.498
CropsToYoungForest,1,4,Crops,YoungForest,168.498
CropsToShrubs,1,5,Crops,Shrubs,84.249
CropsToHerbaceous,1,6,Crops,Herbaceous,84.249
CropsToCocoa,1,7,Crops,Cocoa,257.351
CropsToNonCompliant_Cocoa,1,8,Crops,NonCompliant_Cocoa,257.351
CropsToExhausted_Cocoa,1,9,Crops,Exhausted_Cocoa,1000
PermanentCropsToUrban,2,0,PermanentCrops,Urban,28.0329
PermanentCropsToCrops,2,1,PermanentCrops,Crops,108.011
PermanentCropsToPermanentCrops,2,2,PermanentCrops,PermanentCrops,-55.6384
PermanentCropsToMatureForest,2,3,PermanentCrops,MatureForest,226.192
PermanentCropsToYoungForest,2,4,PermanentCrops,YoungForest,226.192
PermanentCropsToShrubs,2,5,PermanentCrops,Shrubs,113.096
PermanentCropsToHerbaceous,2,6,PermanentCrops,Herbaceous,113.096
PermanentCropsToCocoa,2,7,PermanentCrops,Cocoa,8.53597
PermanentCropsToNonCompliant_Cocoa,2,8,PermanentCrops,NonCompliant_Cocoa,8.53597
PermanentCropsToExhausted_Cocoa,2,9,PermanentCrops,Exhausted_Cocoa,1000
MatureForestToUrban,3,0,MatureForest,Urban,141.531
MatureForestToCrops,3,1,MatureForest,Crops,157.257
MatureForestToPermanentCrops,3,2,MatureForest,PermanentCrops,47.2789
MatureForestToMatureForest,3,3,MatureForest,MatureForest,-305.802
MatureForestToYoungForest,3,4,MatureForest,YoungForest,0
MatureForestToShrubs,3,5,MatureForest,Shrubs,47
MatureForestToHerbaceous,3,6,MatureForest,Herbaceous,47
MatureForestToCocoa,3,7,MatureForest,Cocoa,118.763
MatureForestToNonCompliant_Cocoa,3,8,MatureForest,NonCompliant_Cocoa,118.763
MatureForestToExhausted_Cocoa,3,9,MatureForest,Exhausted_Cocoa,1000
YoungForestToUrban,4,0,YoungForest,Urban,141.531
YoungForestToCrops,4,1,YoungForest,Crops,157.257
YoungForestToPermanentCrops,4,2,YoungForest,PermanentCrops,47.2789
YoungForestToMatureForest,4,3,YoungForest,MatureForest,0
YoungForestToYoungForest,4,4,YoungForest,YoungForest,-305.802
YoungForestToShrubs,4,5,YoungForest,Shrubs,47
YoungForestToHerbaceous,4,6,YoungForest,Herbaceous,47
YoungForestToCocoa,4,7,YoungForest,Cocoa,118.763
YoungForestToNonCompliant_Cocoa,4,8,YoungForest,NonCompliant_Cocoa,118.763
YoungForestToExhausted_Cocoa,4,9,YoungForest,Exhausted_Cocoa,1000
ShrubsToUrban,5,0,Shrubs,Urban,141.531
ShrubsToCrops,5,1,Shrubs,Crops,157.257
ShrubsToPermanentCrops,5,2,Shrubs,PermanentCrops,47.2789
ShrubsToMatureForest,5,3,Shrubs,MatureForest,47
ShrubsToYoungForest,5,4,Shrubs,YoungForest,47
ShrubsToShrubs,5,5,Shrubs,Shrubs,-152.901
ShrubsToHerbaceous,5,6,Shrubs,Herbaceous,47
ShrubsToCocoa,5,7,Shrubs,Cocoa,118.763
ShrubsToNonCompliant_Cocoa,5,8,Shrubs,NonCompliant_Cocoa,118.763
ShrubsToExhausted_Cocoa,5,9,Shrubs,Exhausted_Cocoa,1000
HerbaceousToUrban,6,0,Herbaceous,Urban,141.531
HerbaceousToCrops,6,1,Herbaceous,Crops,157.257
HerbaceousToPermanentCrops,6,2,Herbaceous,PermanentCrops,47.2789
HerbaceousToMatureForest,6,3,Herbaceous,MatureForest,47
HerbaceousToYoungForest,6,4,Herbaceous,YoungForest,47
HerbaceousToShrubs,6,5,Herbaceous,Shrubs,47
HerbaceousToHerbaceous,6,6,Herbaceous,Herbaceous,-152.901
HerbaceousToCocoa,6,7,Herbaceous,Cocoa,118.763
HerbaceousToNonCompliant_Cocoa,6,8,Herbaceous,NonCompliant_Cocoa,118.763
HerbaceousToExhausted_Cocoa,6,9,Herbaceous,Exhausted_Cocoa,1000
CocoaToUrban,7,0,Cocoa,Urban,429.117
CocoaToCrops,7,1,Cocoa,Crops,293.347
CocoaToPermanentCrops,7,2,Cocoa,PermanentCrops,214.922
CocoaToMatureForest,7,3,Cocoa,MatureForest,72.9052
CocoaToYoungForest,7,4,Cocoa,YoungForest,72.9052
CocoaToShrubs,7,5,Cocoa,Shrubs,36.4526
CocoaToHerbaceous,7,6,Cocoa,Herbaceous,36.4526
CocoaToCocoa,7,7,Cocoa,Cocoa,-112.892
CocoaToNonCompliant_Cocoa,7,8,Cocoa,NonCompliant_Cocoa,0
CocoaToExhausted_Cocoa,7,9,Cocoa,Exhausted_Cocoa,0
NonCompliant_CocoaToUrban,8,0,NonCompliant_Cocoa,Urban,429.117
NonCompliant_CocoaToCrops,8,1,NonCompliant_Cocoa,Crops,293.347
NonCompliant_CocoaToPermanentCrops,8,2,NonCompliant_Cocoa,PermanentCrops,214.922
NonCompliant_CocoaToMatureForest,8,3,NonCompliant_Cocoa,MatureForest,72.9052
NonCompliant_CocoaToYoungForest,8,4,NonCompliant_Cocoa,YoungForest,72.9052
NonCompliant_CocoaToShrubs,8,5,NonCompliant_Cocoa,Shrubs,36.4526
NonCompliant_CocoaToHerbaceous,8,6,NonCompliant_Cocoa,Herbaceous,36.4526
NonCompliant_CocoaToCocoa,8,7,NonCompliant_Cocoa,Cocoa,0
NonCompliant_CocoaToNonCompliant_Cocoa,8,8,NonCompliant_Cocoa,NonCompliant_Cocoa,-112.892
NonCompliant_CocoaToExhausted_Cocoa,8,9,NonCompliant_Cocoa,Exhausted_Cocoa,0
Exhausted_CocoaToUrban,9,0,Exhausted_Cocoa,Urban,429.117
Exhausted_CocoaToCrops,9,1,Exhausted_Cocoa,Crops,293.347
Exhausted_CocoaToPermanentCrops,9,2,Exhausted_Cocoa,PermanentCrops,214.922
Exhausted_CocoaToMatureForest,9,3,Exhausted_Cocoa,MatureForest,72.9052
Exhausted_CocoaToYoungForest,9,4,Exhausted_Cocoa,YoungForest,72.9052
Exhausted_CocoaToShrubs,9,5,Exhausted_Cocoa,Shrubs,36.4526
Exhausted_CocoaToHerbaceous,9,6,Exhausted_Cocoa,Herbaceous,36.4526
Exhausted_CocoaToCocoa,9,7,Exhausted_Cocoa,Cocoa,293.347
Exhausted_CocoaToNonCompliant_Cocoa,9,8,Exhausted_Cocoa,NonCompliant_Cocoa,293.347
Exhausted_CocoaToExhausted_Cocoa,9,9,Exhausted_Cocoa,Exhausted_Cocoa,-56.446
